               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.018732,           0.0095377,          0.00082902,             0.92031,             0.91701,             0.94918,             0.66897,            0.021538,           0.0086595,          0.00031725,           0.0027793,           0.0027793,           0.0027793
                 108,            0.017716,           0.0089102,           0.0007159,             0.92317,             0.90407,              0.9504,             0.67675,            0.021843,            0.008784,          0.00028748,           0.0027048,           0.0027048,           0.0027048
                 109,             0.01799,           0.0090265,           0.0005551,             0.89479,             0.91701,              0.9483,             0.67425,            0.021787,           0.0087949,          0.00025923,           0.0026316,           0.0026316,           0.0026316
                 110,            0.018292,           0.0088907,          0.00035899,             0.92818,             0.89011,             0.94959,             0.68367,            0.021637,           0.0086145,          0.00023513,           0.0025596,           0.0025596,           0.0025596
                 111,            0.017229,           0.0085758,          0.00030093,             0.92668,              0.8927,             0.95614,             0.68917,            0.021275,           0.0086689,          0.00020861,           0.0024889,           0.0024889,           0.0024889
                 112,            0.017684,           0.0086254,           0.0002794,             0.93801,             0.90215,             0.95582,             0.68764,            0.021466,           0.0087977,          0.00020584,           0.0024195,           0.0024195,           0.0024195
                 113,            0.018132,           0.0091753,          0.00055776,             0.91212,             0.89812,             0.95003,             0.68548,            0.021575,           0.0086112,          0.00021155,           0.0023515,           0.0023515,           0.0023515
                 114,            0.017227,           0.0082297,           0.0005252,             0.88157,             0.92587,             0.95107,              0.6925,            0.021401,           0.0086402,          0.00018999,           0.0022849,           0.0022849,           0.0022849
                 115,            0.016701,           0.0085261,           0.0003461,             0.90234,             0.90618,             0.94843,             0.68518,            0.021395,           0.0088455,          0.00016634,           0.0022196,           0.0022196,           0.0022196
                 116,             0.01736,           0.0089916,          0.00027118,             0.90413,             0.90109,             0.94982,             0.69163,            0.021262,           0.0088049,          0.00016076,           0.0021558,           0.0021558,           0.0021558
                 117,            0.017135,           0.0087929,           0.0003185,             0.90567,             0.92074,             0.95213,             0.68391,            0.021584,           0.0087957,          0.00016496,           0.0020935,           0.0020935,           0.0020935
                 118,            0.017383,           0.0088739,          0.00041255,             0.90186,             0.90859,             0.95311,             0.68381,            0.021191,           0.0087825,           0.0001621,           0.0020327,           0.0020327,           0.0020327
                 119,            0.016977,           0.0082795,          0.00033448,             0.89888,             0.91771,              0.9526,              0.6843,            0.021209,           0.0089484,          0.00016605,           0.0019734,           0.0019734,           0.0019734
                 120,            0.017188,           0.0082106,            0.000368,             0.89439,             0.92142,              0.9529,             0.68098,            0.021577,           0.0086497,           0.0001554,           0.0019156,           0.0019156,           0.0019156
                 121,            0.016815,           0.0083726,          0.00079695,             0.90607,             0.90573,             0.95233,             0.68087,            0.021613,           0.0086487,          0.00014484,           0.0018594,           0.0018594,           0.0018594
                 122,            0.017094,           0.0082897,          0.00033131,             0.93019,             0.88518,             0.95607,             0.68436,            0.021209,           0.0086523,          0.00014272,           0.0018048,           0.0018048,           0.0018048
                 123,            0.016949,           0.0085511,          0.00060175,             0.92252,             0.89206,             0.95503,              0.6845,            0.021472,           0.0085656,          0.00014888,           0.0017519,           0.0017519,           0.0017519
                 124,            0.016905,           0.0083892,           0.0003258,             0.91884,             0.89508,             0.95374,             0.68633,            0.021531,           0.0087708,          0.00015013,           0.0017005,           0.0017005,           0.0017005
                 125,            0.015637,           0.0080852,          0.00049294,             0.90224,             0.90486,              0.9541,             0.68981,            0.021438,           0.0086951,          0.00014171,           0.0016509,           0.0016509,           0.0016509
                 126,            0.017568,           0.0087516,          0.00069067,              0.8913,             0.91529,               0.953,             0.69243,            0.021237,           0.0087368,          0.00013869,           0.0016029,           0.0016029,           0.0016029
                 127,            0.016221,           0.0081239,          0.00040336,             0.91169,             0.89962,              0.9527,             0.68506,            0.021374,           0.0088058,          0.00014723,           0.0015566,           0.0015566,           0.0015566
                 128,            0.016726,           0.0084175,          0.00030709,             0.90235,             0.90486,             0.94917,             0.68573,            0.021377,           0.0089371,          0.00015236,           0.0015121,           0.0015121,           0.0015121
                 129,            0.015406,           0.0079092,          0.00020616,             0.90197,             0.90303,             0.94992,             0.68747,            0.021526,           0.0089463,          0.00015375,           0.0014693,           0.0014693,           0.0014693
                 130,            0.016937,           0.0085948,          0.00035351,             0.90353,             0.90489,             0.94929,             0.68594,            0.021555,           0.0089563,             0.00015,           0.0014283,           0.0014283,           0.0014283
                 131,            0.016083,           0.0081684,          0.00046015,             0.90913,             0.89927,             0.94966,             0.68583,            0.021552,            0.008957,          0.00013738,            0.001389,            0.001389,            0.001389
                 132,             0.01596,           0.0082525,          0.00036172,             0.92294,              0.8839,             0.94903,             0.68868,            0.021344,           0.0091061,          0.00012907,           0.0013516,           0.0013516,           0.0013516
                 133,            0.016109,           0.0083239,          0.00022868,             0.92013,             0.89046,             0.94839,             0.68781,            0.021437,           0.0091261,          0.00012851,            0.001316,            0.001316,            0.001316
                 134,            0.015631,           0.0078502,          0.00051716,             0.91026,             0.89204,             0.94626,             0.68029,            0.021647,           0.0092295,          0.00012714,           0.0012822,           0.0012822,           0.0012822
                 135,            0.015469,           0.0086629,          0.00065816,              0.9025,             0.90043,             0.94671,              0.6817,            0.021663,           0.0091959,          0.00012505,           0.0012503,           0.0012503,           0.0012503
                 136,            0.015818,           0.0084987,          0.00022839,             0.91781,             0.89719,             0.94826,             0.68222,            0.021631,           0.0091959,          0.00012419,           0.0012202,           0.0012202,           0.0012202
                 137,            0.016457,            0.008269,          0.00036307,             0.92509,             0.88759,             0.94908,             0.68485,            0.021702,           0.0092519,          0.00012188,           0.0011921,           0.0011921,           0.0011921
                 138,            0.015964,           0.0086694,          0.00035597,             0.94469,             0.87854,             0.95087,             0.68801,            0.021526,           0.0091511,          0.00011745,           0.0011658,           0.0011658,           0.0011658
                 139,            0.016296,           0.0080414,          0.00030249,              0.8941,             0.90249,             0.95191,             0.68957,             0.02163,           0.0092862,          0.00011629,           0.0011414,           0.0011414,           0.0011414
                 140,            0.015603,           0.0083483,          0.00034323,             0.91191,             0.89953,             0.95218,              0.6871,            0.021559,            0.009231,          0.00011988,           0.0011189,           0.0011189,           0.0011189
                 141,            0.015748,           0.0076336,          0.00042312,             0.92632,             0.88157,             0.95095,             0.68566,            0.021704,            0.009173,          0.00011993,           0.0010983,           0.0010983,           0.0010983
                 142,            0.014315,           0.0079932,          0.00020978,             0.94812,             0.87131,             0.95149,             0.68523,            0.021573,           0.0092016,          0.00012015,           0.0010797,           0.0010797,           0.0010797
                 143,            0.016033,           0.0081221,          0.00041898,              0.9283,             0.88766,             0.95214,             0.68199,            0.021541,           0.0092513,          0.00011621,            0.001063,            0.001063,            0.001063
                 144,            0.014699,            0.008033,          0.00026195,             0.92579,             0.88157,             0.94936,             0.68231,            0.021784,           0.0094188,          0.00011468,           0.0010483,           0.0010483,           0.0010483
                 145,             0.01442,           0.0080076,          0.00044906,             0.93004,              0.8814,             0.94983,             0.68458,            0.021587,           0.0093155,          0.00011081,           0.0010355,           0.0010355,           0.0010355
                 146,            0.014915,           0.0080839,          0.00063564,             0.92755,              0.8796,             0.94979,             0.68611,            0.021534,           0.0092215,          0.00011343,           0.0010247,           0.0010247,           0.0010247
                 147,             0.01536,           0.0076385,          0.00046895,             0.89654,             0.90844,             0.94985,             0.69072,            0.021255,           0.0091568,          0.00011813,           0.0010158,           0.0010158,           0.0010158
                 148,            0.015765,           0.0080405,          0.00022023,             0.91489,             0.89435,             0.94757,              0.6763,            0.021584,           0.0092289,           0.0001236,           0.0010089,           0.0010089,           0.0010089
                 149,            0.015834,            0.007833,          0.00019961,             0.92582,             0.89064,             0.94833,             0.68524,            0.021246,           0.0092684,          0.00012372,           0.0010039,           0.0010039,           0.0010039
